16	48885802	49385801
16	49385802	49539788
16	49539789	50935801
16	50935802	55485801
16	55485802	60035801
16	60035802	64585801
16	64585802	69135801
16	69135802	73685801
16	73685802	78235801
16	78235802	82785801
16	82785802	87335801
16	87335802	88389383
16	88439384	90294753
17	396627	4946626
17	4946627	9496626
17	9496627	14046626
17	14046627	18596626
17	18596627	21566608
17	21666609	22263006
17	25263007	29813006
17	29813007	34363006
17	34363007	34675848
17	34725849	39275848
17	39275849	43825848
17	43825849	48375848
17	48375849	52925848
17	52925849	57475848
17	57475849	62025848
17	62025849	62410760
17	62460761	67010760
17	67010761	71560760
17	71560761	76110760
17	76110761	77546461
17	77596462	79709049
17	79759050	81195210
18	10001	4560000
18	4560001	9110000
18	9110001	13660000
18	13660001	15410898
18	18510899	19010898
18	19010899	19510898
18	19510899	20010898
18	20010899	20510898
18	20510899	21010898
18	21010899	21510898
18	21510899	22010898
18	22010899	22510898
18	22510899	22810898
18	22810899	23060898
18	23060899	27610898
18	27610899	32160898
18	32160899	36710898
18	36710899	41260898
18	41260899	45810898
18	45810899	50360898
18	50360899	52059136
18	52209137	56759136
18	56759137	61309136
18	61309137	65859136
18	65859137	70409136
18	70409137	72283353
18	72333354	75721820
18	75771821	78017248
19	60001	4610000
19	4610001	7346004
19	7396005	8687198
19	8737199	13287198
19	13287199	17837198
19	17837199	20523415
19	20573416	24631782
19	27731783	28231782
19	28231783	28731782
19	28731783	29231782
19	29231783	29731782
19	29731783	30231782
19	30231783	30369797
19	30369798	32281782
19	32281783	36831782
19	36831783	41381782
19	41381783	45931782
19	45931783	50481782
19	50481783	55031782
19	55031783	59118983
2	10001	3529312
2	3579313	5018788
2	5118789	9668788
2	9668789	14218788
2	14218789	16279724
2	16329725	20879724
2	20879725	21153113
2	21178114	25728113
2	25728114	30278113
2	30278114	33092197
2	33093198	33141692
2	33142693	37692692
2	37692693	42242692
2	42242693	46792692
2	46792693	51342692
2	51342693	55892692
2	55892693	60442692
2	60442693	64992692
2	64992693	69542692
2	69542693	74092692
2	74092693	78642692
2	78642693	83192692
2	83192693	87668206
2	87718207	89630436
2	89830437	90321525
2	90371526	90545103
2	91595104	92095103
2	92095104	92326171
2	95326172	99876171
2	99876172	104426171
2	104426172	108976171
2	108976172	110109337
2	110251338	114801337
2	114801338	119351337
2	119351338	123901337
2	123901338	128451337
2	128451338	132551638
2	132551639	133001337
2	133001338	133501337
2	133501338	134001337
2	134001338	134501337
2	134501338	135001337
2	135001338	135501337
2	135501338	135991298
2	135991299	137551337
2	137551338	142101337
2	142101338	146651337
2	146651338	149690582
2	149790583	154340582
2	154340583	158890582
2	158890583	163440582
2	163440583	167990582
2	167990583	172540582
2	172540583	177090582
2	177090583	181640582
2	181640583	186190582
2	186190583	190740582
2	190740583	195290582
2	195290583	199840582
2	199840583	204390582
2	204390583	208940582
2	208940583	213490582
2	213490583	218040582
2	218040583	222590582
2	222590583	227140582
2	227140583	231690582
2	231690583	234003741
2	234053742	238603741
2	238603742	239801978
2	239831979	240784132
2	240809133	243102476
2	243152477	243189373
20	60001	4610000
20	4610001	9160000
20	9160001	13710000
20	13710001	18260000
20	18260001	22810000
20	22810001	26319569
20	29419570	29653908
20	29803909	34353908
20	34353909	34897085
20	34947086	39497085
20	39497086	44047085
20	44047086	48597085
20	48597086	53147085
20	53147086	57697085
20	57697086	61091437
20	61141438	61213369
20	61263370	62965520
21	9411194	9595548
21	9645549	9775437
21	9825438	10034920
21	10084921	10215976
21	10365977	10647896
21	10697897	10797897
21	10797898	11188129
21	14338130	18888129
21	18888130	23438129
21	23438130	27988129
21	27988130	32538129
21	32538130	37088129
21	37088130	41638129
21	41638130	42955559
21	43005560	43249342
21	43250843	44632664
21	44682665	48119895
22	16050001	16697850
22	16847851	20509431
22	20609432	25159431
22	25159432	29709431
22	29709432	34259431
22	34259432	38809431
22	38809432	43359431
22	43359432	47909431
22	47909432	50364777
22	50414778	51244566
3	60001	4610000
3	4610001	9160000
3	9160001	13710000
3	13710001	18260000
3	18260001	22810000
3	22810001	27360000
3	27360001	31910000
3	31910001	36460000
3	36460001	41010000
3	41010001	45560000
3	45560001	50110000
3	50110001	54660000
3	54660001	59210000
3	59210001	63760000
3	63760001	66170270
3	66270271	70820270
3	70820271	75370270
3	75370271	79920270
3	79920271	84470270
3	84470271	89020270
3	89020271	90504854
3	93504855	98054854
3	98054855	102604854
3	102604855	107154854
3	107154855	111704854
3	111704855	116254854
3	116254855	120804854
3	120804855	125354854
3	125354855	129904854
3	129904855	134454854
3	134454855	139004854
3	139004855	143554854
3	143554855	148104854
3	148104855	152654854
3	152654855	157204854
3	157204855	161754854
3	161754855	166304854
3	166304855	170854854
3	170854855	175404854
3	175404855	179954854
3	179954855	184504854
3	184504855	189054854
3	189054855	193604854
3	193604855	194041961
3	194047252	194547251
3	194547252	195047251
3	195047252	195547251
3	195547252	196047251
3	196047252	196547251
3	196547252	197047251
3	197047252	197547251
3	197547252	197962430
4	10001	1423146
4	1478647	6028646
4	6028647	8799203
4	8818204	9274642
4	9324643	13874642
4	13874643	18424642
4	18424643	22974642
4	22974643	27524642
4	27524643	31820917
4	31837418	32834638
4	32840639	37390638
4	37390639	41940638
4	41940639	46490638
4	46490639	49054475
4	49054476	49338941
4	49488942	49660117
4	52660118	57210117
4	57210118	59739333
4	59789334	64339333
4	64339334	68889333
4	68889334	73439333
4	73439334	75427379
4	75452280	80002279
4	80002280	84552279
4	84552280	89102279
4	89102280	93652279
4	93652280	98202279
4	98202280	102752279
4	102752280	107302279
4	107302280	111852279
4	111852280	116402279
4	116402280	120952279
4	120952280	125502279
4	125502280	130052279
4	130052280	134602279
4	134602280	139152279
4	139152280	143702279
4	143702280	148252279
4	148252280	152802279
4	152802280	157352279
4	157352280	161902279
4	161902280	166452279
4	166452280	171002279
4	171002280	175552279
4	175552280	180102279
4	180102280	184652279
4	184652280	187252279
4	187252280	187752279
4	187752280	188252279
4	188252280	188752279
4	188752280	189202279
4	189202280	189702279
4	189702280	190202279
4	190202280	190702279
4	190702280	191044276
5	10001	4560000
5	4560001	9110000
5	9110001	13660000
5	13660001	17530657
5	17580658	22130657
5	22130658	26680657
5	26680658	31230657
5	31230658	35780657
5	35780658	40330657
5	40330658	44880657
5	44880658	46405641
5	49405642	53955641
5	53955642	58505641
5	58505642	63055641
5	63055642	67605641
5	67605642	72155641
5	72155642	76705641
5	76705642	81255641
5	81255642	85805641
5	85805642	90355641
5	90355642	91636128
5	91686129	96236128
5	96236129	100786128
5	100786129	105336128
5	105336129	109886128
5	109886129	114436128
5	114436129	118986128
5	118986129	123536128
5	123536129	128086128
5	128086129	132636128
5	132636129	137186128
5	137186129	138787073
5	138837074	143387073
5	143387074	147937073
5	147937074	152487073
5	152487074	155138727
5	155188728	159738727
5	159738728	164288727
5	164288728	168838727
5	168838728	173388727
5	173388728	177938727
5	177938728	180905260
6	60001	4610000
6	4610001	9160000
6	9160001	13710000
6	13710001	18260000
6	18260001	22810000
6	22810001	27360000
6	27360001	31269919
6	31269920	31769919
6	31769920	31910000
6	31910001	32410000
6	32410001	32910000
6	32910001	33410000
6	33410001	33910000
6	33910001	34410000
6	34410001	34460000
6	34460001	36460000
6	36460001	41010000
6	41010001	45560000
6	45560001	50110000
6	50110001	54660000
6	54660001	55960000
6	55960001	56460000
6	56460001	56960000
6	56960001	57460000
6	57460001	57960000
6	57960001	58087659
6	58137660	58780166
6	61880167	62128589
6	62178590	66728589
6	66728590	71278589
6	71278590	75828589
6	75828590	80378589
6	80378590	84928589
6	84928590	89478589
6	89478590	94028589
6	94028590	95680543
6	95830544	100380543
6	100380544	104930543
6	104930544	109480543
6	109480544	114030543
6	114030544	118580543
6	118580544	123130543
6	123130544	127680543
6	127680544	132230543
6	132230544	136780543
6	136780544	141330543
6	141330544	145880543
6	145880544	150430543
6	150430544	154980543
6	154980544	157559467
6	157609468	157641300
6	157691301	162241300
6	162241301	166791300
6	166791301	167942073
6	168042074	170279972
6	170329973	171055067
7	10001	232484
7	282485	4832484
7	4832485	9382484
7	9382485	13932484
7	13932485	18482484
7	18482485	23032484
7	23032485	27582484
7	27582485	32132484
7	32132485	36682484
7	36682485	41232484
7	41232485	45782484
7	45782485	50332484
7	50332485	50370631
7	50410632	54960631
7	54960632	58054331
7	61054332	61310513
7	61360514	61460465
7	61510466	61677020
7	61727021	61917157
7	61967158	66517157
7	66517158	71067157
7	71067158	74715724
7	74765725	79315724
7	79315725	83865724
7	83865725	88415724
7	88415725	92965724
7	92965725	97515724
7	97515725	100556043
7	100606044	105156043
7	105156044	109706043
7	109706044	114256043
7	114256044	118806043
7	118806044	123356043
7	123356044	127906043
7	127906044	130154523
7	130254524	134804523
7	134804524	139354523
7	139354524	139379377
7	139404378	142048195
7	142098196	142276197
7	142326198	143347897
7	143397898	147947897
7	147947898	152497897
7	152497898	154270634
7	154370635	158920634
7	158920635	159128663
8	10001	4560000
8	4560001	7474649
8	7524650	12074649
8	12074650	12091854
8	12141855	16691854
8	16691855	21241854
8	21241855	25791854
8	25791855	30341854
8	30341855	34891854
8	34891855	39441854
8	39441855	43838887
8	46838888	48130499
8	48135600	52685599
8	52685600	57235599
8	57235600	61785599
8	61785600	66335599
8	66335600	70885599
8	70885600	75435599
8	75435600	79985599
8	79985600	84535599
8	84535600	86576451
8	86726452	91276451
8	91276452	95826451
8	95826452	100376451
8	100376452	104926451
8	104926452	109476451
8	109476452	114026451
8	114026452	118576451
8	118576452	123126451
8	123126452	127676451
8	127676452	132226451
8	132226452	136776451
8	136776452	141326451
8	141326452	142766515
8	142816516	145332588
8	145432589	146304022
9	10001	4560000
9	4560001	9110000
9	9110001	13660000
9	13660001	18210000
9	18210001	22760000
9	22760001	27310000
9	27310001	31860000
9	31860001	36410000
9	36410001	39663686
9	39713687	39974796
9	40024797	40233029
9	40283030	40425834
9	40475835	40940341
9	40990342	41143214
9	41193215	41365793
9	41415794	42613955
9	42663956	43213698
9	43313699	43946569
9	43996570	44676646
9	44726647	44908293
9	44958294	45250203
9	45350204	45815521
9	45865522	46216430
9	46266431	46461039
9	46561040	47060133
9	47160134	47317679
9	65467680	65918360
9	65968361	66192215
9	66242216	66404656
9	66454657	66614195
9	66664196	66863343
9	66913344	67107834
9	67207835	67366296
9	67516297	67987998
9	68137999	68514181
9	68664182	68838946
9	68988947	69278385
9	69328386	70010542
9	70060543	70218729
9	70318730	70506535
9	70556536	70735468
9	70835469	75385468
9	75385469	79935468
9	79935469	84485468
9	84485469	89035468
9	89035469	92343416
9	92443417	92528796
9	92678797	97228796
9	97228797	101778796
9	101778797	106328796
9	106328797	110878796
9	110878797	115428796
9	115428797	119978796
9	119978797	124528796
9	124528797	129078796
9	129078797	133073060
9	133223061	137041193
9	137091194	139166997
9	139216998	141153431
MT	1	16569
X	60001	94821
X	144822	231384
X	281385	1047557
X	1097558	1134113
X	1184114	1264234
X	1314235	2068238
X	2118239	6668238
X	6668239	7623882
X	7673883	10738674
X	10788675	15338674
X	15338675	19888674
X	19888675	24438674
X	24438675	28988674
X	28988675	33538674
X	33538675	37098256
X	37148257	41698256
X	41698257	46248256
X	46248257	49242997
X	49292998	49974173
X	50024174	52395914
X	52445915	56995914
X	56995915	58582012
X	61682013	62182012
X	62182013	62682012
X	62682013	63182012
X	63182013	63682012
X	63682013	64182012
X	64182013	64682012
X	64682013	65182012
X	65182013	65682012
X	65682013	65982012
X	65982013	66232012
X	66232013	70782012
X	70782013	75332012
X	75332013	76653692
X	76703693	81253692
X	81253693	85803692
X	85803693	90353692
X	90353693	94903692
X	94903693	99453692
X	99453693	104003692
X	104003693	108553692
X	108553693	113103692
X	113103693	113517668
X	113567669	115682290
X	115732291	120013235
X	120063236	124613235
X	124613236	129163235
X	129163236	133713235
X	133713236	138263235
X	138263236	142813235
X	142813236	143507324
X	143557325	148107324
X	148107325	148906424
X	148956425	149032062
X	149082063	152277099
X	152327100	155260560
Y	2649521	7199520
Y	7199521	8914955
Y	8964956	9241322
Y	9291323	10104553
Y	13104554	13143954
Y	13193955	13693954
Y	13693955	13748578
Y	13798579	18348578
Y	18348579	20143885
Y	20193886	22369679
Y	22419680	23901428
Y	23951429	28501428
Y	28501429	28819361
Y	58819362	58917656
Y	58967657	59034049
